document_id,file_name,pdf_path,text_file,page_count,character_count,average_chars_per_page,pages_with_text,text_page_ratio,extraction_quality,ocr_required,extraction_status,extraction_date
2023_nov_p1_exam_maths,NSC_Mathematics_2023_Nov_P1_exam.pdf,data\raw\exams\NSC_Mathematics_2023_Nov_P1_exam.pdf,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_exam.txt,10,0,0.0,0,0.0,poor,True,extracted,2026-09-09T06:18:06.809763+00:00
2023_nov_p1_memo_maths,NSC_Mathematics_2023_Nov_P1_memo.pdf,data\raw\memos\NSC_Mathematics_2023_Nov_P1_memo.pdf,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P1_memo.txt,17,13478,584.29,17,1.0,good,False,extracted,2026-09-09T06:18:10.054014+00:00
2023_nov_p2_exam_maths,NSC_Mathematics_2023_Nov_P2_exam.pdf,data\raw\exams\NSC_Mathematics_2023_Nov_P2_exam.pdf,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P2_exam.txt,14,0,0.0,0,0.0,poor,True,extracted,2026-09-09T06:18:10.239335+00:00
2023_nov_p2_memo_maths,NSC_Mathematics_2023_Nov_P2_memo.pdf,data\raw\memos\NSC_Mathematics_2023_Nov_P2_memo.pdf,data\processed\extracted_text\NSC_Mathematics_2023_Nov_P2_memo.txt,23,19359,603.96,23,1.0,good,False,extracted,2026-09-09T06:18:13.933103+00:00
2024_nov_p1_exam_maths,NSC_Mathematics_2024_Nov_P1_exam.pdf,data\raw\exams\NSC_Mathematics_2024_Nov_P1_exam.pdf,data\processed\extracted_text\NSC_Mathematics_2024_Nov_P1_exam.txt,10,0,0.0,0,0.0,poor,True,extracted,2026-09-09T06:18:14.047243+00:00
2024_nov_p1_memo_maths,NSC_Mathematics_2024_Nov_P1_memo.pdf,data\raw\memos\NSC_Mathematics_2024_Nov_P1_memo.pdf,data\processed\extracted_text\NSC_Mathematics_2024_Nov_P1_memo.txt,17,14185,619.29,17,1.0,good,False,extracted,2026-09-09T06:18:17.075471+00:00
2024_nov_p2_exam_maths,NSC_Mathematics_2024_Nov_P2_exam.pdf,data\raw\exams\NSC_Mathematics_2024_Nov_P2_exam.pdf,data\processed\extracted_text\NSC_Mathematics_2024_Nov_P2_exam.txt,14,0,0.0,0,0.0,poor,True,extracted,2026-09-09T06:18:17.268318+00:00
2024_nov_p2_memo_maths,NSC_Mathematics_2024_Nov_P2_memo.pdf,data\raw\memos\NSC_Mathematics_2024_Nov_P2_memo.pdf,data\processed\extracted_text\NSC_Mathematics_2024_Nov_P2_memo.txt,25,21400,621.2,25,1.0,good,False,extracted,2026-09-09T06:18:22.244052+00:00
2025_nov_p1_exam_maths,NSC_Mathematics_2025_Nov_P1_exam.pdf,data\raw\exams\NSC_Mathematics_2025_Nov_P1_exam.pdf,data\processed\extracted_text\NSC_Mathematics_2025_Nov_P1_exam.txt,12,0,0.0,0,0.0,poor,True,extracted,2026-09-09T06:18:22.518393+00:00
2025_nov_p1_memo_maths,NSC_Mathematics_2025_Nov_P1_memo.pdf,data\raw\memos\NSC_Mathematics_2025_Nov_P1_memo.pdf,data\processed\extracted_text\NSC_Mathematics_2025_Nov_P1_memo.txt,21,16147,542.9,21,1.0,good,False,extracted,2026-09-09T06:18:26.051309+00:00
2025_nov_p2_exam_maths,NSC_Mathematics_2025_Nov_P2_exam.pdf,data\raw\exams\NSC_Mathematics_2025_Nov_P2_exam.pdf,data\processed\extracted_text\NSC_Mathematics_2025_Nov_P2_exam.txt,15,0,0.0,0,0.0,poor,True,extracted,2026-09-09T06:18:26.254672+00:00
2025_nov_p2_memo_maths,NSC_Mathematics_2025_Nov_P2_memo.pdf,data\raw\memos\NSC_Mathematics_2025_Nov_P2_memo.pdf,data\processed\extracted_text\NSC_Mathematics_2025_Nov_P2_memo.txt,12,0,0.0,0,0.0,poor,True,extracted,2026-09-09T06:18:26.425744+00:00
caps_mathematics_gr10_12,NSC_Mathematics_2011_caps.pdf,data\raw\caps\NSC_Mathematics_2011_caps.pdf,data\processed\extracted_text\NSC_Mathematics_2011_caps.txt,62,105369,1426.37,61,0.984,good,False,extracted,2026-09-09T06:18:33.509865+00:00
grade12_mathematics_exam_guideline_2021,NSC_Mathematics_2021_guideline.pdf,data\raw\caps\NSC_Mathematics_2021_guideline.pdf,data\processed\extracted_text\NSC_Mathematics_2021_guideline.txt,16,31435,1623.5,16,1.0,good,False,extracted,2026-09-09T06:18:35.677959+00:00
